C#,CNAME,TEACHER,PERIOD,CREDIT
INFT534405,信号与系统IV,侯兴松,40.0,2.5
ITDE514105,太阳能电池设计制作,易文辉,32.0,1.0
ITDE514305,压电器件设计制作,"夏颂,高翔宇",32.0,1.0
ITDE514405,电子系统设计制作,张朝阳,32.0,1.0
JZSJ300111,专业实习,金莉,0.0,3.0
MATH200127,离散数学Ⅳ,李闯,32.0,2.0
MATH200327,概率统计与随机过程,"王平辉,边浩",64.0,4.0
MATH230305,工程优化方法与应用,高贞贞,32.0,2.0
MATH230405,信息科学的矩阵分析基础,杜清河,32.0,2.0
MATH300111,图论与代数系统,李文,32.0,2.0
PHYS410105,量子力学,"司金海,谭文疆",32.0,2.0
PHYS410205,热力学与统计物理,尹行天,32.0,2.0
SCTR400205,论文写作与发表,唐亚哲,16.0,1.0
SCTR400405,计算机科研习课,唐亚哲,128.0,4.0
SCTR530105,科研训练,刘乃豪,32.0,1.0
SOFT300127,软件工程导论,金莉,16.0,1.0
SOFT300227,数字逻辑与数字系统,张斌,40.0,2.5
SOFT400327,计算机网络,朱利,40.0,2.0
SOFT420311,编译原理,吴晓军,40.0,2.5
SOFT420811,数据库系统（英）,"侯迪,白秀秀",40.0,2.5
SOFT420911,软件工程经济学,王晨旭,32.0,2.0
SOFT500127,数据库系统设计综合训练,白秀秀,16.0,0.5
SOFT500427,图像处理与机器视觉,"张斌,田智强",40.0,2.5
SOFT500527,机器学习技术综合训练,庞善民,16.0,0.5
SOFT500627,网络信息安全,田暄,32.0,2.0
SOFT510711,机器学习导论,"GONG YIHONG,庞善民",32.0,2.0
SOFT510911,编译系统设计综合训练,吴晓军,16.0,0.5
SOFT511111,大数据技术,赵加坤,32.0,2.0
SOFT511211,计算机网络专题实验,张玉龙,32.0,1.0
